question,correct_answer,repeat_question_trial.thisRepN,repeat_question_trial.thisTrialN,repeat_question_trial.thisN,repeat_question_trial.thisIndex,thisRow.t,notes,welcome_screen.started,welcome_text.started,key_welcome.started,welcome_screen.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,questions_trial.started,text.started,key_resp.started,questions_trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,goodbye_screen.started,text_goodbye.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.006843100069090724,0.02545850002206862,0.02545850002206862,5.858942000078969,space,5.8295384999364614,None,,,,,,,,,,,1,001,2024-02-02_00h05.15.675,practice_exam,2023.2.3,59.7337666055529,2024-02-02 00h05.27.271571 +0100,
"Which of the following is impossible in R? 
 
 A: Making memes. 
 B: Loading current data from a URL. 
 C: Creating an app that organizes your spreadsheet. 
 D: None of the above.",d,0,0,0,7,5.8984829999972135,,,,,,,,,5.866962800035253,5.8984829999972135,5.8984829999972135,8.397478500031866,d,1,2.4824495000066236,None,,,1,001,2024-02-02_00h05.15.675,practice_exam,2023.2.3,59.7337666055529,2024-02-02 00h05.27.271571 +0100,
"Which Python library gives you access to your computer's current time (hour and minute)? 
 
 A: time 
 B: calendar 
 C: numpy 
 D: pd",a,0,1,1,8,8.415990400011651,,,,,,,,,8.398313000099733,8.415990400011651,8.415990400011651,10.366337000043131,a,1,1.948486000066623,None,,,1,001,2024-02-02_00h05.15.675,practice_exam,2023.2.3,59.7337666055529,2024-02-02 00h05.27.271571 +0100,
"Which one of these gives you a quick overview of some of your data from a data frame? 
 
 A: View(df) 
 B: get_overview(df) 
 C: tidyr::look(df) 
  D: head(df)",d,0,2,2,1,10.388833100092597,,,,,,,,,10.366922000073828,10.388833100092597,10.388833100092597,13.224876300082542,d,1,2.830488600069657,None,,,1,001,2024-02-02_00h05.15.675,practice_exam,2023.2.3,59.7337666055529,2024-02-02 00h05.27.271571 +0100,
"What is the right way to create a simple scatterplot with ggplot? 
 
 A: ggplot(data = data, mapping = aes(x = xvar, y = yvar)) + geom_count() 
 B: ggplot() + geom_count(mapping = c(x = xvar, y = yvar)) 
 C: ggplot(data = data, mapping = aes(x = "xvar", y = "yvar")) + geom_point() 
 D: ggplot(data = data, mapping = aes(x = xvar, y = yvar)) + geom_point()",d,0,3,3,5,13.266370900091715,,,,,,,,,13.225502600078471,13.266370900091715,13.266370900091715,17.315682900021784,d,1,4.03232720005326,None,,,1,001,2024-02-02_00h05.15.675,practice_exam,2023.2.3,59.7337666055529,2024-02-02 00h05.27.271571 +0100,
"Which of these is not a real difference between R and Python? 
 
 A: A global variable can be called within a function in one but not the other language. 
 B: The indexing begins with 0 in one of them, with 1 in the other. 
 C: Square brackets [] cannot be used to access elements in a data frame in one of them. 
 D: One of them relies more heavily on libraries than the other to perform its primary functions.",c,0,4,4,3,17.355134600074962,,,,,,,,,17.31629129999783,17.355134600074962,17.355134600074962,20.691944500082172,c,1,3.325570800108835,None,,,1,001,2024-02-02_00h05.15.675,practice_exam,2023.2.3,59.7337666055529,2024-02-02 00h05.27.271571 +0100,
"What is the correct syntax for making and saving png images in R? 
 
 A: dev.on() 
 plot() 
 dev.off() 
 
 B: plot() 
 dev.off() 
 save.png() 
 
 C: png() 
 plot() 
 dev.off() 
 
 D: plot() 
 png() 
 dev.off()",c,0,5,5,9,20.717139100073837,,,,,,,,,20.692550800042227,20.717139100073837,20.717139100073837,23.33291250001639,c,1,2.604190699988976,None,,,1,001,2024-02-02_00h05.15.675,practice_exam,2023.2.3,59.7337666055529,2024-02-02 00h05.27.271571 +0100,
"What is the right way to use ifelse() in R? 
 
 A: The first argument is your if logical, the second argument your else, there is no other argument. 
 B: The first argument is your logical, the second what should happen if it is true, the third if it is false. 
 C: The first argument is the logical to test, the other arguments allow you to make several outcomes. 
 D: ifelse() is the same as three if-else statements.",b,0,6,6,0,23.372491199988872,,,,,,,,,23.33350040006917,23.372491199988872,23.372491199988872,27.69084960001055,b,1,4.311824699980207,None,,,1,001,2024-02-02_00h05.15.675,practice_exam,2023.2.3,59.7337666055529,2024-02-02 00h05.27.271571 +0100,
"What is the right way to begin a for loop in R? 
 
 A: for i in 1:5: 
 B: for [i] in [length(df)]: 
 C: for(int i = 0; i < 5; i++) { 
 D: for(i in 1:length(df)) {",d,0,7,7,4,27.71561549999751,,,,,,,,,27.69146300002467,27.71561549999751,27.71561549999751,31.549066900042817,d,1,3.829773399978876,None,,,1,001,2024-02-02_00h05.15.675,practice_exam,2023.2.3,59.7337666055529,2024-02-02 00h05.27.271571 +0100,
"What is the function of %>%? 
 
 A: It transmits the value from one line into the function in the next line. 
 B: It transforms the value using a single function on the left hand side and assigns it to the variable on the right hand side. 
 C: It assigns a value to a variable name. 
 D: It allows you to combine elements of the ggplot package.",a,0,8,8,2,31.584355600061826,,,,,,,,,31.549689800012857,31.584355600061826,31.584355600061826,33.78365990007296,a,1,2.1947182998992503,None,,,1,001,2024-02-02_00h05.15.675,practice_exam,2023.2.3,59.7337666055529,2024-02-02 00h05.27.271571 +0100,
"Which of these is not a real function in base R? 
 
 A: t() 
 B: diag() 
 C: propo() 
 D: matrix()",c,0,9,9,6,33.79947420000099,,,,,,,,,33.78427490009926,33.79947420000099,33.79947420000099,36.10028370004147,c,1,2.2934227000223473,None,,,1,001,2024-02-02_00h05.15.675,practice_exam,2023.2.3,59.7337666055529,2024-02-02 00h05.27.271571 +0100,
,,,,,,,,,,,,,,,,,,,,,,,36.100729800062254,36.11601680004969,,,,,,,,
